city,child_perc,child,total_count
S. Pasadena,0.6205673758865248,175.0,282
El Monte,0.5160493827160494,209.0,405
La Verne,0.3368010403120936,259.0,769
Glendora,0.29381443298969073,285.0,970
Irwindale,0.2632831086439334,332.0,1261
